id,name,level,school,casting_time,range,components,duration,description,version,is_active
spell_local_sim_acquisition,Local SIM Acquisition,1,Conjuration,1 action,Touch,V S M (Passport),Instantaneous,Obtain a working local SIM card. INT check DC 12 or get scammed on the data plan.,1.0,true
spell_vpn_stability,VPN Stability,3,Abjuration,1 action,Self,V S,8 hours,Your VPN doesn't drop. Stable connection to home country internet. Crucial in certain locations.,1.0,true
spell_atm_fee_absorption,ATM Fee Absorption,1,Abjuration,1 action,Touch,V,Instantaneous,Negate one ATM foreign transaction fee. Small but meaningful victory.,1.0,true
spell_currency_conversion_intuition,Currency Conversion Intuition,2,Divination,1 action,Self,V,1 hour,Instantly know exchange rates. Advantage on all money-related INT checks. Know exactly how much you're overpaying.,1.0,true
spell_food_safety_scan,Food Safety Scan,1,Divination,1 action,Touch,V,Instantaneous,Sense if food will give you food poisoning. DC 15 to detect. False negatives possible. Use on street food.,1.0,true
spell_stomach_of_steel,Stomach of Steel,3,Abjuration,1 action,Self,V S,24 hours,"Advantage on all CON saves vs food poisoning. Does not make you immune, just resilient.",1.0,true
spell_toilet_finder,Toilet Finder,1,Divination,1 action,Self,V,10 minutes,Locate nearest toilet. Also reveals quality and whether you need to pay. Essential spell.,1.0,true
spell_air_quality_indifference,Air Quality Indifference,2,Abjuration,1 action,Self,V S,8 hours,Ignore air pollution effects. No longer checking AQI every hour. Breathe freely (probably fine).,1.0,true
spell_queue_skip_justification,Queue Skip Justification,3,Enchantment,1 action,30 feet,V,Instantaneous,"Convince others you have legitimate reason to skip queue. CHA contest. On fail, entire queue becomes hostile.",1.0,true
spell_mansplain_shield,Mansplain Shield,2,Abjuration,1 reaction,Self,V,1 round,Immunity to one Mansplain attack. +5 CR vs condescension-based damage.,1.0,true
spell_cultural_appropriation_blur,Cultural Appropriation Blur,2,Illusion,1 action,Self,S,1 hour,Make your cultural appropriation less obvious. -2 to checks by others to detect your ignorance. Ethically questionable.,1.0,true
spell_genuine_local_connection,Genuine Local Connection,5,Enchantment,1 action,30 feet,V S,Special,Actually make a real friend from another culture. Requires genuine effort (10 hours of interaction). Extremely rare. Permanent positive effect on both parties.,1.0,true
