name,race,class,level,location,alignment,personality,role,notes
The Harajuku Chimera,Aberration,Influencer,5,Takeshita Street (Tokyo),Chaotic Good,"Multiple fashion eras simultaneously, colors shift, aesthetically impossible",Thirst Trap,"Non-hostile; INT save DC 14 or become fashion-obsessed; +4 CHA (Fashion) near them; outfit changes when unobserved"
The Eternal Backpacker,Aberration,Digital Nomad,5,Khao San Road (Bangkok),Chaotic Neutral,"Has been traveling for 47 years, hasn't aged, elephant pants fused to skin",Thirst Trap,"Non-hostile; WIS save DC 14 or quit your job immediately; knows all secrets of the road; smells of temples"
The Ladyboy Siren,Aberration,Influencer,6,Soi Cowboy (Bangkok),Chaotic Good,"Supernaturally beautiful, voice harmonizes with itself, gender is a suggestion",Thirst Trap,"Non-hostile; CHA save DC 17 or be charmed; +3 CHA while charmed; teaches confidence; surprisingly wise"
The Beach Body Elemental,Aberration,Yoga Teacher,7,Full Moon Party (Thailand),True Neutral,"Abs that ripple like waves, tan that glows, made partially of sand and coconut oil",Thirst Trap,"Non-hostile; CON save DC 15 or feel body shame; +2 DEX and CON if you work out with them; dissolves at dawn"
The Little Fresh Meat,Aberration,Influencer,5,The Bund (Shanghai),Chaotic Neutral,"K-pop adjacent, jawline could cut glass, skin literally poreless, age indeterminate",Thirst Trap,"Non-hostile; CHA save DC 16 or buy whatever they're selling; +3 CHA (Fashion); slightly two-dimensional in photos"
The Socialite Specter,Aberration,Venture Capitalist,8,Xintiandi (Shanghai),Lawful Evil,"Designer everything, name-drops ghosts of dynasties, champagne never empties",Thirst Trap,"Non-hostile; WIS save DC 17 or feel poor; can open any door; connection to old Shanghai; slightly transparent in daylight"
The Gym Bro Golem,Aberration,Gig Worker,6,Jing'an Gym (Shanghai),Lawful Neutral,"Muscles have muscles, protein shakes flow through veins, speaks only in fitness",Thirst Trap,"Non-hostile; STR save DC 14 or start lifting; +3 STR while training with; made of compressed protein powder"
The K-Pop Simulacrum,Aberration,Influencer,7,Gangnam District (Seoul),Lawful Neutral,"Too perfect, choreography in sleep, face optimized by algorithm, multiple backup bodies",Thirst Trap,"Non-hostile; CHA save DC 18 or become a fan; +4 CHA (Performance); may be several entities in one"
The Aegyo Entity,Aberration,Influencer,4,Hongdae (Seoul),Chaotic Good,"Weaponized cuteness, eyes 40% too large, voice causes insulin spikes, aegyo is involuntary",Thirst Trap,"Non-hostile; WIS save DC 15 or must protect them; +3 CHA when acting cute; actually 300 years old"
The Plastic Surgery Perfection,Aberration,UX Designer,8,Apgujeong (Seoul),True Neutral,"Face is mathematically perfect, uncanny valley ambassador, before photo doesn't exist",Thirst Trap,"Non-hostile; INT save DC 16 or book consultation; +2 CHA permanently visible in their presence; reflection doesn't match"
The Bubble Tea Nymph,Aberration,Barista,5,Yongkang Street (Taipei),Chaotic Good,"Emerges from tapioca, skin has boba texture, straw always in hand, speaks in sweetness levels",Thirst Trap,"Non-hostile; CON save DC 14 or crave bubble tea constantly; +3 CHA checks in tea shops; grants sugar immunity"
The Night Market Incubus,Aberration,Gig Worker,6,Raohe Night Market (Taipei),Chaotic Neutral,"Impossibly handsome vendor, food is too delicious, eye contact causes hunger, slightly smoky",Thirst Trap,"Non-hostile; WIS save DC 16 or eat until full (+4 Chill, -2 DEX); knows your cravings; appears at different stalls"
The Hot Springs Spirit,Aberration,Digital Detox Druid,7,Jiaoxi (Taiwan),Neutral Good,"Made of steam and mineral water, ageless beauty, modesty is optional, voice echoes",Thirst Trap,"Non-hostile; CHA save DC 15 or soak for hours; removes all negative conditions; +2 CON and WIS; vanishes if photographed"
