id,name,type,size,armor_class,hit_points,speed,challenge_rating,abilities,attacks,special_traits,version,is_active
monster_linkedin_lunatic,The LinkedIn Lunatic,Construct,Medium,16,45 (7d8+14),30 ft,3,"Str 14, Dex 10, Con 14, Int 12, Wis 8, Cha 16",Hustle (Multiattack); Synergy (Buff allies),Toxic Positivity (Immune to psychic),1.0,true
monster_crypto_bro,The Crypto Bro,Humanoid,Medium,12,30 (6d8+6),30 ft,2,"Str 10, Dex 12, Con 12, Int 10, Wis 6, Cha 14",Shill (Confusion); HODL (AC +5 for 1 round),"Ponzi Scheme (On death, explodes for 0 dmg)",1.0,true
monster_trust_fund_baby,The Trust Fund Baby,Humanoid,Medium,10,20 (4d8+4),30 ft,1,"Str 8, Dex 10, Con 12, Int 10, Wis 8, Cha 14",My Father Will Hear of This (Summon Lawyer); Throw Money (Distraction),Safety Net (Reroll 1s),1.0,true
monster_pick_me,The Pick-Me,Humanoid,Medium,13,28 (5d8+6),30 ft,2,"Str 10, Dex 14, Con 12, Int 10, Wis 10, Cha 14",Not Like Other Girls (Advantage vs own gender); Validation Seek (Heal self),Desperation,1.0,true
monster_nice_guy,The Nice Guy,Humanoid,Medium,12,35 (6d8+8),30 ft,2,"Str 12, Dex 10, Con 12, Int 10, Wis 8, Cha 12",Fedora Tip (Charm); Rage Quit (Advantage on attacks if rejected),Entitlement,1.0,true
monster_mlm_hun,The MLM Hun,Fiend,Medium,14,42 (7d8+11),30 ft,3,"Str 10, Dex 14, Con 12, Int 10, Wis 8, Cha 18",Hey Girl (Charm); Essential Oil (Poison),Pyramid Structure (Summons minions),1.0,true
monster_gym_bro,The Gym Bro,Humanoid,Medium,16,50 (8d8+16),40 ft,4,"Str 18, Dex 12, Con 16, Int 6, Wis 8, Cha 12",Do You Even Lift (2d8 bludgeoning); Protein Fart (Poison cloud),Gains (Regenerate 5 HP),1.0,true
monster_vegan_crusader,The Vegan Crusader,Humanoid,Medium,12,25 (5d8+5),30 ft,2,"Str 10, Dex 12, Con 12, Int 12, Wis 14, Cha 10",Guilt Trip (2d6 psychic); Moral High Ground (Fly speed),Plant Based (Vulnerable to fire),1.0,true
monster_conspiracy_theorist,The Conspiracy Theorist,Humanoid,Medium,11,30 (6d8+6),30 ft,2,"Str 10, Dex 10, Con 12, Int 8, Wis 6, Cha 14",Red Pill (Confusion); Tinfoil Hat (Immune to psychic),Paranoia (Advantage on Perception),1.0,true
monster_boomer,The Boomer,Humanoid,Medium,10,20 (4d8+4),20 ft,1,"Str 10, Dex 8, Con 10, Int 10, Wis 8, Cha 10",Back In My Day (Stun); Technology Fail (AoE tech disable),Lead Poisoning (Resistance to poison),1.0,true
monster_zoomer,The Zoomer,Humanoid,Medium,14,25 (5d8+5),35 ft,2,"Str 10, Dex 16, Con 12, Int 12, Wis 10, Cha 14",Ok Boomer (2d8 psychic); Yeet (Throw object),Cringe (Immune to embarrassment),1.0,true
monster_tech_support_scammer,The Tech Support Scammer,Humanoid,Medium,12,22 (4d8+4),30 ft,1,"Str 8, Dex 12, Con 10, Int 14, Wis 10, Cha 14",Virus Alert (Frighten); Refund (Steal gold),Remote Access (Range 120ft),1.0,true
monster_airbnb_host,The Airbnb Host,Humanoid,Medium,13,35 (6d8+8),30 ft,3,"Str 10, Dex 12, Con 12, Int 12, Wis 12, Cha 14",Cleaning Fee (Steal gold); Bad Review (Curse),Superhost (Lair actions),1.0,true
monster_landlord,The Landlord,Fiend,Medium,15,60 (9d8+20),30 ft,5,"Str 14, Dex 10, Con 16, Int 14, Wis 12, Cha 10",Rent Hike (Drain HP); Eviction (Banishment),Passive Income (Regenerate gold),1.0,true
monster_middle_manager,The Middle Manager,Devil,Medium,14,45 (7d8+14),30 ft,3,"Str 12, Dex 10, Con 14, Int 12, Wis 10, Cha 14",Circle Back (Time loop); Synergy (Buff minions),Bureaucracy (Slow aura),1.0,true
monster_hr_rep,The HR Rep,Construct,Medium,16,50 (8d8+16),30 ft,4,"Str 10, Dex 10, Con 16, Int 14, Wis 14, Cha 12",Performance Review (Debuff); Termination (Power Word Kill - Lite),Policy (Lawful Neutral),1.0,true
monster_unpaid_intern,The Unpaid Intern,Humanoid,Medium,10,10 (2d8+2),30 ft,0,"Str 8, Dex 10, Con 10, Int 10, Wis 10, Cha 10",Coffee Run (Haste); Cry (Distraction),Expendable,1.0,true
monster_slack_slacker,The Slack Slacker,Humanoid,Medium,12,20 (4d8+4),30 ft,1,"Str 8, Dex 14, Con 10, Int 12, Wis 10, Cha 12",Away Message (Invisibility); GIF Response (Confusion),Remote Work (Cannot be found),1.0,true
monster_meeting_holder,The Meeting Holder,Aberration,Medium,14,55 (8d8+19),0 ft,4,"Str 10, Dex 10, Con 16, Int 14, Wis 12, Cha 14",Schedule (Paralyze); Overtime (Exhaustion),Time Vampire,1.0,true
monster_buzzword_bot,The Buzzword Bot,Construct,Medium,15,40 (6d8+13),30 ft,3,"Str 14, Dex 10, Con 14, Int 8, Wis 8, Cha 10",Paradigm Shift (Teleport); Low Hanging Fruit (1d6 bludgeoning),Automated,1.0,true
monster_influencer_boyfriend,The Influencer Boyfriend,Humanoid,Medium,14,30 (5d8+8),30 ft,2,"Str 14, Dex 14, Con 14, Int 8, Wis 10, Cha 10",Camera Hold (Grapple); Angle Find (Advantage),Simp,1.0,true
monster_mommy_blogger,The Mommy Blogger,Humanoid,Medium,13,35 (6d8+8),30 ft,3,"Str 10, Dex 12, Con 12, Int 12, Wis 10, Cha 16",Overshare (Psychic dmg); Wine Mom (Poison),Judgment,1.0,true
monster_political_arguer,The Political Arguer,Humanoid,Medium,12,28 (5d8+6),30 ft,2,"Str 10, Dex 10, Con 14, Int 12, Wis 8, Cha 12",Straw Man (Summon construct); Ad Hominem (1d6 psychic),Polarized,1.0,true
monster_grammar_nazi,The Grammar Nazi,Humanoid,Medium,12,25 (5d8+5),30 ft,2,"Str 8, Dex 12, Con 10, Int 16, Wis 10, Cha 8",Correction (Counterspell); Red Pen (1d4 slashing),Pedantic,1.0,true
monster_spoiler,The Spoiler,Humanoid,Medium,11,20 (4d8+2),30 ft,1,"Str 10, Dex 12, Con 10, Int 12, Wis 8, Cha 10",Ruined Ending (Psychic dmg); Leak (Divination),Troll,1.0,true
monster_backseat_gamer,The Backseat Gamer,Humanoid,Medium,12,22 (4d8+4),30 ft,1,"Str 8, Dex 14, Con 12, Int 14, Wis 10, Cha 8",Advice (Disadvantage); Controller Grab (Grapple),Annoying,1.0,true
monster_foodie,The Foodie,Humanoid,Medium,12,30 (5d8+8),30 ft,2,"Str 10, Dex 10, Con 16, Int 12, Wis 12, Cha 12",Photo First (Stun); Critique (1d6 psychic),Gluttony,1.0,true
monster_craft_beer_snob,The Craft Beer Snob,Humanoid,Medium,13,32 (5d8+10),30 ft,2,"Str 12, Dex 10, Con 14, Int 12, Wis 10, Cha 10",Hops Breath (Poison); IBU Check (Analysis),Pretentious,1.0,true
monster_vinyl_purist,The Vinyl Purist,Humanoid,Medium,11,25 (5d8+5),30 ft,1,"Str 8, Dex 12, Con 10, Int 14, Wis 12, Cha 10",Warm Sound (Sleep); Scratch (1d4 sonic),Analog,1.0,true
monster_festival_wook,The Festival Wook,Humanoid,Medium,12,40 (6d8+13),30 ft,3,"Str 12, Dex 14, Con 18, Int 6, Wis 14, Cha 12",Ground Score (Find item); K-Hole (Banishment),Chemical Resistance,1.0,true
monster_trustafarian,The Trustafarian,Humanoid,Medium,11,28 (5d8+6),30 ft,2,"Str 10, Dex 12, Con 12, Int 10, Wis 8, Cha 14",Dreadlock Whip (1d4 slashing); Cultural Appropriation (Psychic dmg),Fake Poor,1.0,true
monster_digital_nomad_evil,The Digital Nomad (Evil),Humanoid,Medium,14,35 (6d8+8),30 ft,3,"Str 10, Dex 16, Con 12, Int 14, Wis 12, Cha 14",Wifi Hog (Slow); Gentrify (Territory control),Passport Privilege,1.0,true
monster_expat_bubble,The Expat Bubble,Ooze,Large,10,60 (8d10+16),20 ft,4,"Str 14, Dex 6, Con 16, Int 10, Wis 8, Cha 10",Engulf (Absorb); Ignorance (Immune to local language),Insular,1.0,true
monster_begpacker,The Begpacker,Humanoid,Medium,11,20 (4d8+2),30 ft,1,"Str 10, Dex 12, Con 12, Int 8, Wis 8, Cha 12",Hug (Grapple); Spare Change (Steal gold),Shameless,1.0,true
monster_hostel_snorer,The Hostel Snorer,Humanoid,Medium,10,30 (4d8+12),0 ft,1,"Str 14, Dex 8, Con 16, Int 6, Wis 8, Cha 8",Snore (AoE Sleep/Exhaustion); Toss and Turn (1d4 bludgeoning),Unconscious,1.0,true
monster_drunk_australian,The Drunk Australian,Humanoid,Medium,14,45 (6d8+18),30 ft,3,"Str 16, Dex 12, Con 18, Int 8, Wis 8, Cha 14",Shoey (Poison/Heal); Brawl (Multiattack),Legend,1.0,true
monster_spiritual_tourist,The Spiritual Tourist,Humanoid,Medium,11,25 (5d8+5),30 ft,2,"Str 8, Dex 12, Con 10, Int 10, Wis 14, Cha 14",Namaste (Charm); Chakra Align (Heal),Appropriation,1.0,true
monster_yoga_cultist,The Yoga Cultist,Humanoid,Medium,15,40 (7d8+9),40 ft,3,"Str 12, Dex 18, Con 12, Int 10, Wis 16, Cha 14",Contortion (Dodge); Omm (Sonic dmg),Flexible,1.0,true
monster_tantric_healer,The Tantric Healer,Humanoid,Medium,12,30 (5d8+8),30 ft,2,"Str 10, Dex 14, Con 12, Int 10, Wis 10, Cha 16",Touch (Charm/Frighten); Breathwork (Wind),Creepy,1.0,true
monster_sexpat,The Sexpat,Fiend,Medium,13,40 (7d8+9),30 ft,3,"Str 12, Dex 10, Con 12, Int 8, Wis 6, Cha 14","Creepy Compliment (2d6 + CHA psychic, WIS save or Frightened); Bar Approach (CHA save or Grappled)",Predatory Gaze (Disadvantage on CHA saves within 10ft),1.0,true
monster_visa_runner,The Visa Runner,Humanoid,Medium,15,35 (6d8+8),40 ft,3,"Str 10, Dex 18, Con 12, Int 14, Wis 12, Cha 10",Border Dash (Teleport 60ft); Overstay (Immune to Banishment for 1d4 rounds),Slippery (+5 to escape grapples),1.0,true
monster_temple_tantrum_tourist,The Temple Tantrum Tourist,Humanoid,Medium,12,28 (5d8+6),30 ft,2,"Str 14, Dex 8, Con 14, Int 6, Wis 6, Cha 12",Loud Complaint (2d6 + CON sonic AoE); Inappropriate Photo (WIS save or Stunned),Cultural Ignorance (Immune to Shame),1.0,true
monster_haggler_from_hell,The Haggler From Hell,Humanoid,Medium,14,32 (5d8+10),30 ft,2,"Str 10, Dex 12, Con 14, Int 14, Wis 10, Cha 16",Lowball Offer (1d8 + CHA psychic); Walkaway Bluff (CHA contest or target reduces price),Relentless Negotiator (Advantage on Persuasion for prices),1.0,true
monster_retirement_visa_boomer,The Retirement Visa Boomer,Humanoid,Medium,11,45 (6d8+18),20 ft,3,"Str 10, Dex 8, Con 18, Int 10, Wis 8, Cha 14","Back Home Story (2d8 + CHA psychic, WIS save or Bored); Pension Flex (Summon 1d4 cheaper drinks)",Complain About Changes (Difficult terrain 15ft from nostalgia),1.0,true
monster_english_teacher_with_no_qualifications,The English Teacher With No Qualifications,Humanoid,Medium,11,25 (5d8+5),30 ft,1,"Str 10, Dex 12, Con 10, Int 8, Wis 8, Cha 14",Fake Credential (Deception +6); Hungover Lesson (1d6 + CHA psychic to students),Gap Year Extended (Cannot be removed from location),1.0,true
monster_bali_yogi,The Bali Yogi,Humanoid,Medium,14,30 (5d8+8),35 ft,2,"Str 10, Dex 16, Con 12, Int 8, Wis 14, Cha 14",Unsolicited Advice (1d8 + WIS psychic); Sunrise Photo (CHA save or Charmed),Found Themselves (Immune to Identity Crisis),1.0,true
monster_khao_san_road_warrior,The Khao San Road Warrior,Humanoid,Medium,13,38 (6d8+11),30 ft,2,"Str 14, Dex 14, Con 14, Int 8, Wis 8, Cha 12",Bucket Challenge (CON save DC 14 or Poisoned); Chang Singlet Intimidation (1d6 + STR),Party Animal (Advantage on CON saves vs alcohol),1.0,true
monster_entitled_resort_guest,The Entitled Resort Guest,Humanoid,Medium,16,42 (6d8+15),25 ft,3,"Str 10, Dex 10, Con 16, Int 12, Wis 8, Cha 16",Summon Manager (CR 1 ally); Tripadvisor Threat (3d6 + CHA reputation damage),All-Inclusive Aura (Demands free things within 30ft),1.0,true
monster_scooter_without_license_guy,The Scooter Without License Guy,Humanoid,Medium,12,22 (4d8+4),50 ft (scooter),1,"Str 10, Dex 14, Con 10, Int 8, Wis 6, Cha 10","Reckless Driving (2d6 + DEX bludgeoning, DEX save); Horn Spam (1d4 sonic)","No Insurance (On defeat, creates legal complications)",1.0,true
monster_instagram_husband,The Instagram Husband,Humanoid,Medium,13,28 (5d8+6),30 ft,2,"Str 14, Dex 12, Con 12, Int 8, Wis 10, Cha 8",Camera Hold Forever (Grapple + Restrain); Find The Light (Advantage on perception for photos),Simp Shield (+2 CR when protecting Influencer),1.0,true
monster_full_moon_party_casualty,The Full Moon Party Casualty,Undead,Medium,10,35 (5d8+13),25 ft,2,"Str 12, Dex 8, Con 18, Int 4, Wis 6, Cha 8","Vomit Spray (2d6 + CON poison, 15ft cone); Incoherent Rambling (WIS save or Confused)",Blackout (Cannot remember attacks against it),1.0,true
monster_cheap_charlie,The Cheap Charlie,Humanoid,Medium,12,30 (5d8+8),30 ft,2,"Str 10, Dex 14, Con 12, Int 14, Wis 10, Cha 8",Split Bill Argument (1d8 + INT psychic); Tip Refusal (Steals 1d6 GP),Frugal Beyond Reason (Resistance to Gold Loss),1.0,true
monster_colonizer_mindset,The Colonizer Mindset,Aberration,Large,15,55 (8d10+11),30 ft,4,"Str 14, Dex 10, Con 12, Int 14, Wis 6, Cha 16",Explain Your Culture To You (3d6 + INT psychic); Civilizing Mission (WIS save or Charmed to agree),White Savior Complex (Heals when 'helping'),1.0,true
monster_photo_without_permission_tourist,The Photo Without Permission Tourist,Humanoid,Medium,11,20 (4d8+2),35 ft,1,"Str 8, Dex 16, Con 10, Int 8, Wis 6, Cha 10",Flash Photography (DEX save or Blinded); Candid Shot (Steals likeness),Oblivious (Cannot read social cues),1.0,true
monster_loud_american,The Loud American,Humanoid,Medium,13,40 (6d8+13),30 ft,3,"Str 14, Dex 10, Con 16, Int 10, Wis 8, Cha 14","Volume Eleven (3d6 + CON sonic, 30ft radius); Where's The AC (Complain aura, -2 to all checks nearby)",Main Character Energy (Cannot be Ignored),1.0,true
monster_weeb_pilgrim,The Weeb Pilgrim,Humanoid,Medium,12,28 (5d8+6),30 ft,2,"Str 8, Dex 14, Con 12, Int 14, Wis 8, Cha 10",Anime Reference (1d8 + INT psychic to non-weebs); Broken Japanese (WIS save or Cringe damage),"Otaku Knowledge (Advantage on INT checks about Japan, Disadvantage on everything else in Japan)",1.0,true
monster_k_pop_stan_invader,The K-Pop Stan Invader,Humanoid,Medium,14,32 (5d8+10),35 ft,2,"Str 8, Dex 16, Con 14, Int 10, Wis 8, Cha 14",Fancam Attack (2d6 + CHA psychic); Stan Twitter Rage (Advantage on attacks if idol insulted),Parasocial Bond (Immune to Charm from non-idols),1.0,true
monster_shanghai_finance_bro,The Shanghai Finance Bro,Humanoid,Medium,15,38 (6d8+11),30 ft,3,"Str 12, Dex 12, Con 12, Int 16, Wis 8, Cha 16","Salary Flex (2d8 + CHA psychic); Business Card Throw (1d4 + DEX slashing, ranged 30ft)",Expat Package (Regenerates 1d10 GP per round),1.0,true
monster_chaotic_hostel_roommate,The Chaotic Hostel Roommate,Humanoid,Medium,11,25 (5d8+5),30 ft,1,"Str 10, Dex 14, Con 12, Int 8, Wis 6, Cha 12",3AM Return (Prevents Long Rest); Plastic Bag Rustling (1d4 + DEX sonic),"No Boundaries (Ignores personal space, +2 to Grapple)",1.0,true
monster_stochastic_red_flag,The Stochastic Red Flag,Humanoid,Medium,13,33 (6d8+6),30 ft,2,"Str 10, Dex 14, Con 12, Int 12, Wis 8, Cha 16","Unpredictable Mood (Frighten or Charm, roll d4 each turn); Mixed Signals (Disadvantage on Insight checks against them)","Wildcard Identity (When cast to field, roll d6 to randomly gain a 'Red Flag' personality trait/effect for the encounter)",1.0,true
monster_minor_red_flag,The Minor Red Flag,Humanoid,Medium,11,18 (4d8),30 ft,0.5,"Str 10, Dex 12, Con 10, Int 10, Wis 8, Cha 14",Questionable Life Choice (1d4 + CHA psychic); Overshare (WIS save DC 11 or Uncomfortable - disadvantage on next CHA check),"Unstable Decisions (At start of turn, roll d6: on 1-2 takes a random action instead of planned one)",1.0,true
monster_yellow_flag,The Yellow Flag,Humanoid,Medium,12,28 (5d8+5),30 ft,1,"Str 10, Dex 14, Con 12, Int 10, Wis 8, Cha 14",Boundary Push (1d6 + CHA psychic); Still Talks To Their Ex (WIS save DC 12 or Doubt - disadvantage on Insight),"Escalation (Gains +1 to attack and damage each round it stays in combat, max +3)",1.0,true
monster_walking_red_flag,The Walking Red Flag,Humanoid,Medium,13,38 (6d8+11),30 ft,2,"Str 12, Dex 14, Con 14, Int 10, Wis 6, Cha 16","Love Bomb (2d6 + CHA psychic, CHA save DC 13 or Charmed); Emotional Manipulation (1d8 + CHA psychic, target has disadvantage on saves vs Red Flag for 1 min)","All My Exes Are Crazy (Immune to Insight checks, always appears reasonable to newcomers)",1.0,true
monster_situationship,The Situationship,Humanoid,Medium,14,35 (6d8+8),35 ft,2,"Str 10, Dex 16, Con 12, Int 12, Wis 10, Cha 16",Hot and Cold (Alternate between 2d6 + CHA psychic damage and 1d8 healing to same target); Define The Relationship (WIS save DC 13 or Confused for 1 round),"Commitment Issues (Cannot be Grappled or Restrained, teleports 15ft when either attempted)",1.0,true
monster_trauma_dumper,The Trauma Dumper,Humanoid,Medium,12,40 (6d8+13),25 ft,3,"Str 10, Dex 10, Con 16, Int 10, Wis 8, Cha 14","Unload (3d6 + CHA necrotic to all within 15ft, CON save DC 13 for half); My Therapist Says (1d8 + CHA psychic, target must use reaction to listen)",Emotional Vampire (Heals 1d6 when dealing necrotic damage; resistant to psychic damage),1.0,true
monster_stage_5_clinger,The Stage 5 Clinger,Humanoid,Medium,15,50 (8d8+14),40 ft,4,"Str 14, Dex 14, Con 14, Int 10, Wis 6, Cha 18","Death Grip (2d8 + STR bludgeoning + Grapple, escape DC 16); Why Aren't You Texting Back (2d6 + CHA psychic, range 120ft, ignores cover)","Attachment Issues (If target moves more than 30ft away, teleports adjacent to them as reaction; advantage on grapple checks)",1.0,true
monster_crimson_berserker,The Crimson Berserker,Humanoid,Medium,16,65 (10d8+20),40 ft,5,"Str 18, Dex 14, Con 16, Int 6, Wis 4, Cha 16","Unhinged Rant (3d8 + CHA sonic, 20ft cone, CON save DC 15 or Deafened); Relationship Rage (Multiattack: 2x 2d6 + STR bludgeoning); Destroy Your Stuff (2d10 + STR, targets one item, DEX save DC 15 or item destroyed)","Red Flag Frenzy (When below half HP: advantage on all attacks, +2 damage, but cannot distinguish friend from foe, attacks nearest creature)",1.0,true
monster_scarlet_warlord,The Scarlet Warlord,Humanoid,Large,18,85 (10d10+30),35 ft,7,"Str 20, Dex 12, Con 18, Int 8, Wis 6, Cha 20","Scorched Earth (4d8 + CHA psychic AoE 30ft, WIS save DC 16 for half); If I Can't Have You (5d6 + STR to single target, on hit target marked - Warlord has advantage on all attacks vs marked); Summon The Exes (Summons 1d4 Minor Red Flags)",Jealous Rage (Attacks any creature that helps or heals a marked target as reaction); Intimidating Presence (Creatures starting turn within 15ft make WIS save DC 16 or Frightened),1.0,true
monster_frenemy,The Frenemy,Humanoid,Medium,14,45 (7d8+14),30 ft,4,"Str 10, Dex 16, Con 14, Int 16, Wis 14, Cha 18","Backhanded Compliment (2d6 + CHA psychic, target doesn't realize they took damage until end of encounter); Subtle Sabotage (One ally has disadvantage on next roll, DC 16 INT check to notice); Poison Friendship (1d4 poison damage per round to all 'friends' within 30ft, WIS save DC 15 to notice source)","Doppelganger Infiltration (Appears as helpful NPC, passes all Insight checks until it deals damage; can mimic the appearance and voice of any humanoid it has seen)",1.0,true
monster_bestie_betrayer,The Bestie Betrayer,Humanoid,Medium,15,55 (8d8+19),30 ft,5,"Str 12, Dex 16, Con 16, Int 18, Wis 14, Cha 18","Share Your Secrets (INT save DC 16 or reveal a secret/weakness, Betrayer gains advantage on attacks using that info); Weaponized Gossip (3d6 + CHA reputation damage, spreads to one additional target within 30ft); Slow Poison of Doubt (All 'friends' within 30ft take 2d4 psychic damage at start of their turn and have -2 to all saves, WIS DC 16 to identify source)","Hidden Among You (Joins party as helpful NPC, gains trust over 1d4 encounters before revealing true nature; Immune to Detect Evil/Alignment; True Seeing reveals shadowy second face)",1.0,true
monster_public_transport_tiktoker,The Public Transport TikToker,Humanoid,Medium,11,22 (4d8+4),30 ft,1,"Str 8, Dex 12, Con 12, Int 8, Wis 6, Cha 10","Speakerphone Blast (2d6 + CON sonic, 20ft radius, CON save DC 12 or Distracted); Reaction Bait (1d4 + CHA psychic, forces WIS save DC 11 or target must watch)",Oblivious (Immune to Shame; cannot perceive dirty looks or social cues); Infinite Scroll (Regenerates content - cannot be Silenced),1.0,true
monster_doomscroll_pedestrian,The Doomscroll Pedestrian,Humanoid,Medium,10,18 (4d8),15 ft,0.5,"Str 10, Dex 6, Con 10, Int 10, Wis 4, Cha 8","Collision Course (1d6 + STR bludgeoning, walks into target); Sudden Stop (Creatures behind make DEX save DC 11 or pile up, Prone)","Phone Zombie (Speed halved, disadvantage on Perception, but immune to Charm and Frighten - too absorbed to notice); Unpredictable Pathing (Movement provokes opportunity attacks from all creatures)",1.0,true
monster_chain_smoking_pack,The Chain Smoking Pack,Humanoid (Swarm),Medium,12,35 (5d8+13),25 ft,2,"Str 12, Dex 10, Con 18, Int 8, Wis 8, Cha 10","Secondhand Smoke Cloud (2d6 + CON poison, 15ft cone, CON save DC 13 or Poisoned for 1 min); Block The Sidewalk (Creatures in 10ft radius treat area as difficult terrain)","Hive Mind (All members look identical, act in unison); Doorway Congregation (Lair action: always positioned at entrances/exits)",1.0,true
monster_speakerphone_screamer,The Speakerphone Screamer,Humanoid,Medium,12,25 (5d8+5),30 ft,1,"Str 10, Dex 10, Con 12, Int 8, Wis 6, Cha 14","WHAT? I CAN'T HEAR YOU (3d6 + CHA sonic, 30ft radius, CON save DC 12 or Deafened 1 round); Intimate Details (1d8 + CHA cringe damage, WIS save DC 12 or Uncomfortable)","Main Character Syndrome (Believes everyone wants to hear their conversation; immune to requests to lower volume); Echo Effect (If another Speakerphone Screamer within 60ft, both deal +1d6 sonic)",1.0,true
monster_backpack_obstructor,The Backpack Obstructor,Humanoid,Medium,14,30 (5d8+8),25 ft,2,"Str 14, Dex 8, Con 14, Int 8, Wis 6, Cha 8","Spin Attack (1d8 + STR bludgeoning to all adjacent, DEX save DC 13 or knocked back 5ft); Assert Dominance (Expands to fill space, difficult terrain 10ft radius)","Won't Take It Off (Backpack grants +2 AC but occupies space of 2 creatures); Oblivious Pivot (When turning, makes free attack against random adjacent creature)",1.0,true
monster_slow_walker_phalanx,The Slow Walker Phalanx,Humanoid (Swarm),Large,10,40 (6d10+10),10 ft,2,"Str 8, Dex 6, Con 14, Int 10, Wis 8, Cha 12",Wall of Flesh (Creatures cannot pass; STR check DC 14 to push through); Sudden Photo Stop (All creatures within 20ft make DEX save DC 12 or collide for 1d6 bludgeoning),Unbreakable Formation (3-5 people walking side-by-side; immune to Shove; telepathically slow down when you try to pass); Peripheral Blindness (Cannot perceive creatures trying to get around them),1.0,true
monster_queue_skipper,The Queue Skipper,Humanoid,Medium,13,28 (5d8+6),35 ft,2,"Str 10, Dex 16, Con 12, Int 14, Wis 10, Cha 16","Cut In Line (Teleports to front of any formation; CHA save DC 14 or too shocked to object); Excuse Barrage (1d8 + CHA psychic, rapid-fire justifications)",Shameless (Immune to Social Pressure; advantage on Deception when caught); Entitlement Aura (Creatures within 10ft have disadvantage on Intimidation against the Skipper),1.0,true
monster_loud_chewer,The Loud Chewer,Humanoid,Medium,11,30 (5d8+8),30 ft,2,"Str 12, Dex 10, Con 14, Int 8, Wis 8, Cha 6","Open Mouth Mastication (2d6 + CON sonic, 15ft radius, WIS save DC 13 or lose concentration); Slurp Attack (1d8 + CON cringe, particularly effective against Misophonia-vulnerable targets)",Sensory Assault (Chewing sounds are supernaturally loud and wet; disadvantage on all concentration checks within 20ft); Oblivious Eater (Cannot be made aware of their sounds; immune to Suggestion),1.0,true
monster_doorway_loiterer,The Doorway Loiterer,Humanoid,Medium,14,32 (5d8+10),0 ft,2,"Str 14, Dex 8, Con 16, Int 8, Wis 6, Cha 10","Immovable Object (Cannot be Shoved; STR save DC 15 to squeeze past); Clueless Blocking (Reaction: When creature tries to pass, 'accidentally' step in their way, 1d4 psychic from frustration)","Why Are You Standing There (Always chooses worst possible position: doorways, bottlenecks, top of stairs); Root Stance (Speed is 0 but gains +4 CR against being moved)",1.0,true
