id,name,type,rarity,cost_cp,cost_btc,weight_lb,attunement,description,bonuses,tags,version,is_active
item_doc_martens,Doc Martens of Stomping,footwear,uncommon,150,0,3.0,false,"Heavy boots that command respect with every step.","skill_bonus:CHA:intimidation:+2;save_bonus:STR:+1","footwear;intimidation;combat",1.0,true
item_tote_bag_holding,Tote Bag of Holding,wondrous_item,uncommon,20,0,0.5,false,"A canvas bag with impossible capacity. Very sustainable.","capacity:500;skill_bonus:WIS:organization:+1","storage;sustainable;utility",1.0,true
item_reusable_straw,Reusable Straw of Virtue,accessory,common,10,0,0.1,false,"You are saving the turtles. Let everyone know.","skill_bonus:CHA:persuasion:environmental:+1;save_bonus:WIS:guilt:+1","sustainable;social;virtue",1.0,true
item_mason_jar,Mason Jar of Aesthetics,container,common,5,0,0.5,false,"Everything tastes better in a jar. It's science.","skill_bonus:INT:crafting:food:+1;skill_bonus:CHA:presentation:+1","container;aesthetic;crafting",1.0,true
item_ring_light,Ring Light of Vanity,wondrous_item,uncommon,30,0,1.0,false,"Perfect lighting anywhere. Your best angle, always.","advantage:CHA:on_camera;skill_bonus:CHA:selfies:+2","photography;social;aesthetic",1.0,true
item_selfie_stick,Selfie Stick of Reach,weapon,common,15,0,0.5,false,"A quarterstaff for the modern age. Extended reach.","damage:1d6:DEX:bludgeoning;range:10;property:finesse","weapon;photography;reach",1.0,true
item_portable_charger,Portable Charger of Life,wondrous_item,uncommon,30,0,0.3,false,"Emergency power for desperate times.","restore_charge:1;skill_bonus:INT:tech:+1","tech;utility;emergency",1.0,true
item_bluetooth_speaker,Bluetooth Speaker of Annoyance,wondrous_item,common,50,0,0.5,false,"Plays music loudly in public. Assert dominance.","damage:1d4:CHA:sonic:aoe:15;disadvantage:DEX:stealth","audio;offensive;social",1.0,true
item_smart_watch,Smart Watch of Anxiety,accessory,rare,400,0,0.1,true,"Notifies you of everything. Knowledge at a cost.","skill_bonus:WIS:perception:+2;save_penalty:WIS:stress:-2;skill_bonus:DEX:reaction:+1","tech;perception;cursed",1.0,true
item_fitbit_shaming,Fitbit of Shaming,accessory,uncommon,100,0,0.1,false,"Vibrates judgmentally if you haven't moved.","skill_bonus:STR:athletics:+1;save_bonus:CON:sedentary:+1","tech;fitness;wellness",1.0,true
item_peloton_penance,Peloton of Penance,wondrous_item,very_rare,2000,0,100.0,true,"Stationary bike of suffering. Cleanses the soul.","remove_exhaustion:1:1_hour;stat_bonus:CON:+2","fitness;wellness;exhaustion",1.0,true
item_yoga_pants,Yoga Pants of Comfort,armor,common,90,0,0.3,false,"Counts as unarmored. Maximum flexibility.","cr_bonus:+1;stat_bonus:DEX:+1;property:unarmored","clothing;comfort;athletic",1.0,true
item_weighted_blanket,Weighted Blanket of Security,wondrous_item,rare,150,0,15.0,false,"Like a hug that doesn't judge you.","restore_max_chill:short_rest;requires:CON:12","comfort;healing;rest",1.0,true
item_essential_oils,Essential Oils of Placebo,potion,common,15,0,0.1,false,"Cures minor ailments through belief. Maybe.","save_check:WIS:10:cure_condition:1:nothing","consumable;healing;wellness",1.0,true
item_himalayan_salt_lamp,Himalayan Salt Lamp of Vibes,wondrous_item,uncommon,25,0,5.0,false,"Cleanses the energy in any room. Allegedly.","aura:chill_restore:+1:30;skill_bonus:WIS:ambiance:+1","ambiance;wellness;aura",1.0,true
item_succulent,Succulent of Neglect,wondrous_item,common,10,0,0.5,false,"Thrives on being ignored. A kindred spirit.","reroll:WIS:save:1:day","plant;defensive;utility",1.0,true
item_monstera,Monstera of Wealth,wondrous_item,rare,100,0,10.0,false,"The plant that indicates you've made it.","skill_bonus:CHA:home:+2;skill_bonus:WIS:status:+1","plant;status;social",1.0,true
item_chemex,Chemex of Snobbery,wondrous_item,uncommon,50,0,1.0,false,"Makes pour-over coffee. You'll explain the process.","skill_bonus:INT:crafting:coffee:+2;skill_bonus:CHA:condescension:+1","coffee;crafting;social",1.0,true
item_aeropress,Aeropress of Travel,wondrous_item,common,30,0,0.5,false,"Portable coffee anywhere. A nomad essential.","restore_chill:1d4+INT:1:short_rest","coffee;consumable;travel",1.0,true
item_moka_pot,Moka Pot of Patience,wondrous_item,common,20,0,1.0,false,"Takes forever but worth it. Teaches mindfulness.","stat_bonus:WIS:+1;save_bonus:CON:impatience:+1","coffee;wellness;patience",1.0,true
item_french_press,French Press of Grit,wondrous_item,common,15,0,1.0,false,"Coffee with texture. Builds character.","stat_bonus:CON:+1;save_bonus:STR:morning:+1","coffee;consumable;morning",1.0,true
item_cold_brew,Cold Brew of Jitters,potion,common,5,0,0.5,false,"Concentrated caffeine. Handle with care.","effect:haste:1_minute;effect:exhaustion:1:after","consumable;coffee;buff",1.0,true
item_oat_milk,Oat Milk of Superiority,potion,common,6,0,0.5,false,"Dairy free. Environmentally conscious. Slightly smug.","save_bonus:CON:+1;skill_bonus:CHA:dietary:+1","consumable;dairy_free;social",1.0,true
item_almond_milk,Almond Milk of Sustainability,potion,common,5,0,0.5,false,"Uses too much water. A guilty pleasure.","save_penalty:WIS:environmental_guilt:-1;stat_bonus:CON:+1","consumable;dairy_free;cursed",1.0,true
item_standing_desk,Standing Desk Converter,wondrous_item,uncommon,200,0,15.0,false,"Transform any surface into a standing workspace.","stat_bonus:CON:+1;save_bonus:DEX:sedentary:+1;save_penalty:STR:leg_fatigue:-1","ergonomic;work;furniture",1.0,true
item_ergonomic_mouse,Ergonomic Mouse of Carpal Prevention,accessory,common,80,0,0.2,false,"Protects your wrist. Your livelihood depends on it.","skill_bonus:DEX:fine_motor:+1;immunity:carpal_tunnel","ergonomic;tech;health",1.0,true
item_pomodoro_timer,Pomodoro Timer of Productivity,wondrous_item,common,30,0,0.2,false,"25 minutes of focus. 5 minutes of despair.","skill_bonus:INT:concentration:work:+2;save_penalty:WIS:time_anxiety:-1","productivity;focus;work",1.0,true
item_bullet_journal,Bullet Journal of Organization,wondrous_item,uncommon,100,0,0.5,false,"More time decorating it than using it.","skill_bonus:INT:planning:+2;skill_bonus:WIS:memory:+1;skill_penalty:DEX:time_spent:-1","productivity;planning;aesthetic",1.0,true
item_noise_machine,Noise Machine of White,wondrous_item,common,50,0,0.5,false,"Drowns out distractions. Or conversations you're avoiding.","save_bonus:WIS:distraction:+1;skill_bonus:CON:sleep:+1","audio;rest;focus",1.0,true
item_kindle,Kindle of Infinite Books,wondrous_item,uncommon,150,0,0.4,false,"A library in your pocket. You'll definitely read them all.","skill_bonus:INT:research:+2;skill_bonus:WIS:reading:+1;skill_penalty:CHA:eye_contact:-1","tech;reading;knowledge",1.0,true
item_airpods,AirPods of Ignoring,headgear,uncommon,200,0,0.1,false,"The universal signal for 'don't talk to me'.","save_bonus:WIS:unwanted_conversation:+2;skill_bonus:DEX:pretending_not_to_hear:+1","audio;social;defensive",1.0,true
item_moleskine,Moleskine of Pretension,wondrous_item,common,80,0,0.3,false,"The notebook of serious thinkers. Or people who want to look like them.","stat_bonus:INT:+1;skill_bonus:CHA:intellectual:+1","writing;aesthetic;social",1.0,true
item_passport_holder,Passport Holder of Organization,accessory,common,30,0,0.1,false,"Keeps your documents safe. Shows you travel.","skill_bonus:DEX:document_retrieval:+1;skill_bonus:CHA:travel:+1","travel;organization;social",1.0,true
item_universal_adapter,Universal Adapter of Compatibility,wondrous_item,uncommon,100,0,0.3,false,"Works in any country. A true citizen of nowhere.","skill_bonus:INT:tech:international:+2;immunity:power_incompatibility","travel;tech;utility",1.0,true
item_packing_cubes,Packing Cubes of Efficiency,container,common,50,0,0.2,false,"Marie Kondo your luggage. Does it spark joy?","skill_bonus:INT:organization:+2;skill_bonus:WIS:minimalism:+1","travel;organization;storage",1.0,true
