id,name,governing_ability,skill_category,parent_skill_id,description,example_use,version,is_active
skill_wifi_dowsing,WiFi Dowsing,WIS,travel,skill_survival,Finding the strongest signal in a crowded cafe,Locating a seat near an outlet with 5 bars,1.0,true
skill_tax_evasion,Tax Evasion,DEX,bureaucracy,skill_bureaucracy,Avoiding residency requirements and fiscal responsibility,Explaining to customs why you're staying for 89 days,1.0,true
skill_content_creation,Content Creation,CHA,creator,skill_performance,Generating engagement and likes,Filming a TikTok dance in public without shame,1.0,true
skill_trend_analysis,Trend Analysis,WIS,creator,skill_investigation,Knowing what's cool before it's mainstream,Predicting the next gentrified neighborhood,1.0,true
skill_slack_etiquette,Slack Etiquette,CHA,office,skill_persuasion,Passive-aggressive communication in professional settings,Sending 'Per my last email' without getting fired,1.0,true
skill_barista_negotiation,Barista Negotiation,CHA,social,skill_persuasion,Getting complex orders correct and free upgrades,Convincing the barista that oat milk shouldn't cost extra,1.0,true
skill_cryptocurrency_lore,Cryptocurrency Lore,INT,finance,skill_technology,Understanding blockchain and pretending to understand NFTs,Explaining why the dip is actually good for Bitcoin,1.0,true
skill_subletting,Subletting,INT,travel,skill_bureaucracy,Finding and managing housing deals,Renting your Airbnb on another platform for profit,1.0,true
skill_visa_run_planning,Visa Run Planning,INT,travel,skill_bureaucracy,Navigating bureaucracy and border crossings,Calculating the exact day you need to leave the Schengen zone,1.0,true
skill_gentrification,Gentrification,STR,social,skill_intimidation,Forcing your way into local culture,Displacing local businesses with specialty coffee shops,1.0,true
skill_ghosting,Ghosting,DEX,social,skill_stealth,Disappearing from social obligations,Leaving a Tinder date without paying,1.0,true
skill_humblebragging,Humblebragging,CHA,social,skill_performance,Boasting while pretending to complain,'It's so hard to choose between Bali and Lisbon this winter',1.0,true
skill_latte_art,Latte Art,DEX,craft,skill_performance,Creating designs in milk foam,Impressing a date with a swan in their flat white,1.0,true
skill_thrifting,Thrifting,INT,style,skill_investigation,Finding valuable items in piles of junk,Locating a vintage Levi's jacket for $5,1.0,true
skill_meme_literacy,Meme Literacy,INT,culture,skill_history,Understanding internet culture references,Explaining 'Skibidi Toilet' to a Boomer,1.0,true
skill_cancel_culture_history,Cancel Culture History,INT,culture,skill_history,Knowing who has been cancelled and why,Recalling a tweet from 2012 to win an argument,1.0,true
skill_corporate_speak,Corporate Speak,CHA,office,skill_deception,Using buzzwords to say nothing,'Let's circle back and touch base offline',1.0,true
skill_gaslighting,Gaslighting,CHA,social,skill_deception,Making someone question their reality,"'I never said that, you're being crazy'",1.0,true
skill_virtue_signaling,Virtue Signaling,CHA,social,skill_performance,Publicly expressing moral correctness,Posting a black square on Instagram,1.0,true
skill_gatekeeping,Gatekeeping,CHA,social,skill_intimidation,Excluding others from a hobby or fandom,'Oh you like Nirvana? Name three songs',1.0,true
skill_doxxing,Doxxing,INT,digital,skill_investigation,Finding private information online,Locating someone's address from a reflection in a photo,1.0,true
skill_trolling,Trolling,CHA,digital,skill_performance,Provoking emotional responses for fun,Posting controversial takes just to see the reaction,1.0,true
skill_mansplaining,Mansplaining,CHA,social,skill_persuasion,Explaining things to people who already know them,"'Actually, it's pronounced Linux'",1.0,true
skill_astrology,Astrology,INT,occult,skill_arcana,Predicting personality based on star signs,'That is such a Scorpio thing to say',1.0,true
skill_crystal_healing,Crystal Healing,WIS,wellness,skill_medicine,Using rocks to treat medical conditions,'This amethyst will cure your anxiety',1.0,true
skill_manifesting,Manifesting,WIS,wellness,skill_arcana,Thinking about things until they happen,'I'm manifesting a raise this quarter',1.0,true
skill_vibe_checking,Vibe Checking,WIS,social,skill_insight,Assessing the emotional atmosphere,'The vibes are off in this hostel',1.0,true
skill_clout_chasing,Clout Chasing,CHA,creator,skill_performance,Doing anything for fame or attention,Crashing a celebrity's party,1.0,true
skill_self_diagnosis,Self-Diagnosis,WIS,wellness,skill_medicine,Using WebMD to identify rare diseases,'I definitely have scurvy',1.0,true
skill_therapy_speak,Therapy Speak,CHA,social,skill_persuasion,Using psychological terms in casual conversation,'You're violating my boundaries right now',1.0,true
skill_doomscrolling,Doomscrolling,CON,digital,skill_insight,Enduring hours of negative news,Reading Twitter for 6 hours straight without blinking,1.0,true
skill_power_napping,Power Napping,CON,wellness,skill_medicine,Sleeping for exactly 20 minutes,Recharging in a coworking space beanbag,1.0,true
skill_meal_prepping,Meal Prepping,WIS,survival,skill_survival,Preparing a week's worth of bland food,Eating chicken and broccoli for the 5th day in a row,1.0,true
skill_sourdough_baking,Sourdough Baking,WIS,craft,skill_survival,Creating yeast cultures from scratch,Keeping a starter alive for 3 years,1.0,true
skill_plant_parenting,Plant Parenting,WIS,nature,skill_nature,Keeping houseplants alive,Diagnosing why the Fiddle Leaf Fig is dropping leaves,1.0,true
skill_recycling,Recycling,WIS,nature,skill_nature,Sorting trash into correct bins,Knowing which plastic is actually recyclable,1.0,true
skill_public_transit_navigation,Public Transit Navigation,WIS,travel,skill_survival,Understanding bus maps and schedules,Getting from the airport to the city center for under $2,1.0,true
skill_parallel_parking,Parallel Parking,DEX,travel,skill_vehicle_handling,Parking a car in a tight spot,Fitting a Tesla into a compact space,1.0,true
skill_ikea_assembly,IKEA Assembly,INT,craft,skill_technology,Building furniture without instructions,Assembling a MALM bed frame in under an hour,1.0,true
skill_tech_troubleshooting,Tech Troubleshooting,INT,digital,skill_technology,Fixing basic computer issues,'Have you tried turning it off and on again?',1.0,true
skill_password_remembering,Password Remembering,INT,digital,skill_technology,Recalling complex login credentials,Remembering 'P@ssw0rd123!' without a manager,1.0,true
skill_subscription_management,Subscription Management,WIS,office,skill_bureaucracy,Tracking monthly recurring payments,Cancelling the gym membership before the trial ends,1.0,true
skill_inbox_zero,Inbox Zero,WIS,office,skill_bureaucracy,Keeping email unread count at 0,Archiving 5000 unread newsletters,1.0,true
skill_touch_typing,Touch Typing,DEX,digital,skill_technology,Typing without looking at the keyboard,Hacking into the mainframe (writing code),1.0,true
skill_selfie_taking,Selfie Taking,DEX,creator,skill_performance,Finding the perfect angle and lighting,Taking 50 photos to get one good one,1.0,true
skill_filter_selection,Filter Selection,WIS,creator,skill_performance,Choosing the right image enhancement,Knowing when to use 'Paris' vs 'Clarendon',1.0,true
skill_hashtagging,Hashtagging,INT,creator,skill_technology,Maximizing reach with keywords,Using #fyp #viral #trending correctly,1.0,true
skill_algorithm_manipulation,Algorithm Manipulation,INT,creator,skill_technology,Gaming the system for visibility,Posting at exactly 6 PM for maximum engagement,1.0,true
